	gene_symbol	year_discovery	synonym	ensembl_id	seeds
0	NOTCH3	1996	NOTCH3	ENSG00000074181	ENSG00000074181
1	COL4A1	2006	COL4A1	ENSG00000187498	ENSG00000187498
2	TREX1	2007	TREX1	ENSG00000213689	ENSG00000213689
3	HTRA1	2009	HTRA1	ENSG00000166033	ENSG00000166033
4	COL4A2	2012	COL4A2	ENSG00000134871	ENSG00000134871
5	ADA2	2014	CECR1	ENSG00000093072	ENSG00000093072
6	FOXC1	2014	FOXC1	ENSG00000054598	ENSG00000054598
7	PITX2	2014	PITX2	ENSG00000164093	ENSG00000164093
8	CTSA	2016	CTSA	ENSG00000064601	ENSG00000064601
9	COLGALT1	2018	COLGALT1	ENSG00000130309	ENSG00000130309
